context,action,ingredient,qty,unit,is_core,scored,auto_apply,dataset_id,row_id,parent_id,parent_field,source_order,template_id
gin_fizz,fill_up,soda_water,3,oz,false,true,false,cocktails,recipe_gin_fizz_02,cocktails_gin_fizz,recipe,1,recipes_format_02
gin_tonic,pour,gin,1.5,oz,true,true,false,cocktails,recipe_gin_tonic_01,cocktails_gin_tonic,recipe,0,recipes_format_01
gin_tonic,fill_up,soda_water,4,oz,false,true,false,cocktails,recipe_gin_tonic_02,cocktails_gin_tonic,recipe,1,recipes_format_02
godfather,pour,whiskey,50,ml,true,true,false,cocktails,recipe_godfather_01,cocktails_godfather,recipe,0,recipes_format_02
godfather,pour,amaretto,25,ml,false,true,false,cocktails,recipe_godfather_02,cocktails_godfather,recipe,1,recipes_format_02
godmother,pour,vodka,30,ml,true,true,false,cocktails,recipe_godmother_01,cocktails_godmother,recipe,0,recipes_format_02
godmother,pour,amaretto,30,ml,false,true,false,cocktails,recipe_godmother_02,cocktails_godmother,recipe,1,recipes_format_02
grasshopper,pour,green_peppermint,20,ml,true,true,false,cocktails,recipe_grasshopper_01,cocktails_grasshopper,recipe,0,recipes_format_02
grasshopper,pour,white_cacao,20,ml,true,true,false,cocktails,recipe_grasshopper_02,cocktails_grasshopper,recipe,1,recipes_format_02
grasshopper,pour,cream,20,ml,false,true,false,cocktails,recipe_grasshopper_03,cocktails_grasshopper,recipe,2,recipes_format_02
irish_coffee,pour,whiskey,50,ml,true,true,false,cocktails,recipe_irish_coffee_01,cocktails_irish_coffee,recipe,0,recipes_format_02
irish_coffee,pour,coffee,120,ml,true,true,false,cocktails,recipe_irish_coffee_02,cocktails_irish_coffee,recipe,1,recipes_format_02
irish_coffee,pour,cream,50,ml,false,true,false,cocktails,recipe_irish_coffee_03,cocktails_irish_coffee,recipe,2,recipes_format_02
june_bug,pour,melon_liqueur,30,ml,true,true,false,cocktails,recipe_june_bug_01,cocktails_june_bug,recipe,0,recipes_format_02
june_bug,pour,malibu,15,ml,false,true,false,cocktails,recipe_june_bug_02,cocktails_june_bug,recipe,1,recipes_format_02
june_bug,pour,banana_liqueur,15,ml,false,true,false,cocktails,recipe_june_bug_03,cocktails_june_bug,recipe,2,recipes_format_02
june_bug,fill_up,pineapple_juice,60,ml,false,true,false,cocktails,recipe_june_bug_04,cocktails_june_bug,recipe,3,recipes_format_02
june_bug,fill_up,sour_mix,60,ml,false,true,false,cocktails,recipe_june_bug_05,cocktails_june_bug,recipe,4,recipes_format_02
kahlua_milk,pour,kahlua,1.5,oz,true,true,false,cocktails,recipe_kahlua_milk_01,cocktails_kahlua_milk,recipe,0,recipes_format_01
kahlua_milk,pour,milk,0.75,oz,false,true,false,cocktails,recipe_kahlua_milk_02,cocktails_kahlua_milk,recipe,1,recipes_format_01
long_island,pour,gin,1,oz,true,true,false,cocktails,recipe_long_island_01,cocktails_long_island,recipe,0,recipes_format_02
long_island,pour,vodka,1,oz,true,true,false,cocktails,recipe_long_island_02,cocktails_long_island,recipe,1,recipes_format_02
long_island,pour,rum,1,oz,true,true,false,cocktails,recipe_long_island_03,cocktails_long_island,recipe,2,recipes_format_02
long_island,pour,tequila,1,oz,true,true,false,cocktails,recipe_long_island_04,cocktails_long_island,recipe,3,recipes_format_02
long_island,fill_up,cola,1.5,oz,false,true,false,cocktails,recipe_long_island_05,cocktails_long_island,recipe,4,recipes_format_01
margarita,pour,tequila,3.5,oz,true,true,false,cocktails,recipe_margarita_01,cocktails_margarita,recipe,0,recipes_format_01
margarita,pour,triple_sec,2,oz,false,true,false,cocktails,recipe_margarita_02,cocktails_margarita,recipe,1,recipes_format_02
moscow_mule,pour,vodka,1.5,oz,true,true,false,cocktails,recipe_moscow_mule_01,cocktails_moscow_mule,recipe,0,recipes_format_01
moscow_mule,fill_up,ginger_ale,4,oz,false,true,false,cocktails,recipe_moscow_mule_02,cocktails_moscow_mule,recipe,1,recipes_format_02
oasis_sunset,pour,tequila,45,ml,true,true,false,cocktails,recipe_oasis_sunset_01,cocktails_oasis_sunset,recipe,0,recipes_format_02
oasis_sunset,pour,blue_curacao,15,ml,true,true,false,cocktails,recipe_oasis_sunset_02,cocktails_oasis_sunset,recipe,1,recipes_format_02
oasis_sunset,pour,grenadine,10,ml,false,true,false,cocktails,recipe_oasis_sunset_03,cocktails_oasis_sunset,recipe,2,recipes_format_02
old_pal,pour,whiskey,30,ml,true,true,false,cocktails,recipe_old_pal_01,cocktails_old_pal,recipe,0,recipes_format_02
old_pal,pour,dry_vermouth,30,ml,false,true,false,cocktails,recipe_old_pal_02,cocktails_old_pal,recipe,1,recipes_format_02
old_pal,pour,campari,30,ml,false,true,false,cocktails,recipe_old_pal_03,cocktails_old_pal,recipe,2,recipes_format_02
pink_lady,pour,gin,25,ml,true,true,false,cocktails,recipe_pink_lady_01,cocktails_pink_lady,recipe,0,recipes_format_02
pink_lady,pour,grenadine,25,ml,false,true,false,cocktails,recipe_pink_lady_02,cocktails_pink_lady,recipe,1,recipes_format_02
pink_lady,pour,cream,25,ml,false,true,false,cocktails,recipe_pink_lady_03,cocktails_pink_lady,recipe,2,recipes_format_02
red_wine,pour,red_wine,8,oz,true,true,false,cocktails,recipe_red_wine_01,cocktails_red_wine,recipe,0,recipes_format_02
screwdriver,pour,vodka,1.5,oz,true,true,false,cocktails,recipe_screwdriver_01,cocktails_screwdriver,recipe,0,recipes_format_01
screwdriver,pour,orange_juice,6,oz,false,true,false,cocktails,recipe_screwdriver_02,cocktails_screwdriver,recipe,1,recipes_format_02
tequila_sunrise,pour,tequila,1,oz,true,true,false,cocktails,recipe_tequila_sunrise_01,cocktails_tequila_sunrise,recipe,0,recipes_format_02
tequila_sunrise,pour,orange_juice,6,oz,false,true,false,cocktails,recipe_tequila_sunrise_02,cocktails_tequila_sunrise,recipe,1,recipes_format_02
whiskey_sour,pour,whiskey,1.5,oz,true,true,false,cocktails,recipe_whiskey_sour_01,cocktails_whiskey_sour,recipe,0,recipes_format_01
whiskey_sour,fill_up,sour_mix,2,oz,false,true,false,cocktails,recipe_whiskey_sour_02,cocktails_whiskey_sour,recipe,1,recipes_format_02
white_lady,pour,gin,40,ml,true,true,false,cocktails,recipe_white_lady_01,cocktails_white_lady,recipe,0,recipes_format_02
white_lady,pour,triple_sec,30,ml,false,true,false,cocktails,recipe_white_lady_02,cocktails_white_lady,recipe,1,recipes_format_02
