context,part,clip,loop,dataset_id,row_id,parent_id,parent_field,source_order,template_id
luna/default,eyebrows,luna_eyebrows_default,always,character_anim,expression_parts_luna_default_eyebrows,expressions_luna_default,parts,1,expression_parts_format_01
luna/default,upper_face,luna_upper_face_default,always,character_anim,expression_parts_luna_default_upper_face,expressions_luna_default,parts,2,expression_parts_format_01
luna/default,lower_face,luna_lower_face_default,always_on_dialogue,character_anim,expression_parts_luna_default_lower_face,expressions_luna_default,parts,3,expression_parts_format_01
luna/default,body,luna_body_default,always,character_anim,expression_parts_luna_default_body,expressions_luna_default,parts,4,expression_parts_format_01
port/anger,eyes,port_eyes_anger,on_dialogue,character_anim,expression_parts_port_anger_eyes,expressions_port_anger,parts,0,expression_parts_format_01
port/anger,eyebrows,port_eyebrows_anger,on_dialogue,character_anim,expression_parts_port_anger_eyebrows,expressions_port_anger,parts,1,expression_parts_format_01
port/anger,upper_face,port_upper_face_anger,on_dialogue,character_anim,expression_parts_port_anger_upper_face,expressions_port_anger,parts,2,expression_parts_format_01
port/anger,lower_face,port_lower_face_anger,on_dialogue,character_anim,expression_parts_port_anger_lower_face,expressions_port_anger,parts,3,expression_parts_format_01
port/anger,body,port_body_anger,on_dialogue,character_anim,expression_parts_port_anger_body,expressions_port_anger,parts,4,expression_parts_format_01
port/anger,extra,port_extra_anger,on_dialogue,character_anim,expression_parts_port_anger_extra,expressions_port_anger,parts,5,expression_parts_format_01
port/anger,etc,port_etc_default,on_dialogue,character_anim,expression_parts_port_anger_etc,expressions_port_anger,parts,6,expression_parts_format_01
port/default,eyes,port_eyes_default,always,character_anim,expression_parts_port_default_eyes,expressions_port_default,parts,0,expression_parts_format_01
port/default,eyebrows,port_eyebrows_default,always,character_anim,expression_parts_port_default_eyebrows,expressions_port_default,parts,1,expression_parts_format_01
port/default,upper_face,port_upper_face_default,always,character_anim,expression_parts_port_default_upper_face,expressions_port_default,parts,2,expression_parts_format_01
port/default,lower_face,port_lower_face_default,always_on_dialogue,character_anim,expression_parts_port_default_lower_face,expressions_port_default,parts,3,expression_parts_format_01
port/default,body,port_body_default,always,character_anim,expression_parts_port_default_body,expressions_port_default,parts,4,expression_parts_format_01
port/default,extra,port_extra_default,always,character_anim,expression_parts_port_default_extra,expressions_port_default,parts,5,expression_parts_format_01
port/default,etc,port_etc_default,always,character_anim,expression_parts_port_default_etc,expressions_port_default,parts,6,expression_parts_format_01
port/joy,eyebrows,port_eyebrows_joy,always,character_anim,expression_parts_port_joy_eyebrows,expressions_port_joy,parts,0,expression_parts_format_01
port/joy,lower_face,port_lower_face_joy,always_on_dialogue,character_anim,expression_parts_port_joy_lower_face,expressions_port_joy,parts,1,expression_parts_format_01
port/joy,extra,port_extra_default,always,character_anim,expression_parts_port_joy_extra,expressions_port_joy,parts,2,expression_parts_format_01
port/joy,etc,port_etc_default,always,character_anim,expression_parts_port_joy_etc,expressions_port_joy,parts,3,expression_parts_format_01
port/serious,eyes,port_eyes_serious,always,character_anim,expression_parts_port_serious_eyes,expressions_port_serious,parts,0,expression_parts_format_01
port/serious,eyebrows,port_eyebrows_serious,always,character_anim,expression_parts_port_serious_eyebrows,expressions_port_serious,parts,1,expression_parts_format_01
port/serious,lower_face,port_lower_face_serious,always_on_dialogue,character_anim,expression_parts_port_serious_lower_face,expressions_port_serious,parts,2,expression_parts_format_01
port/serious,extra,port_extra_default,always,character_anim,expression_parts_port_serious_extra,expressions_port_serious,parts,3,expression_parts_format_01
port/serious,etc,port_etc_default,always,character_anim,expression_parts_port_serious_etc,expressions_port_serious,parts,4,expression_parts_format_01
samho/default,eyes,samho_eyes_default,always,character_anim,expression_parts_samho_default_eyes,expressions_samho_default,parts,0,expression_parts_format_01
samho/default,eyebrows,samho_eyebrows_default,always,character_anim,expression_parts_samho_default_eyebrows,expressions_samho_default,parts,1,expression_parts_format_01
samho/default,upper_face,samho_upper_face_default,always,character_anim,expression_parts_samho_default_upper_face,expressions_samho_default,parts,2,expression_parts_format_01
samho/default,lower_face,samho_lower_face_default,always_on_dialogue,character_anim,expression_parts_samho_default_lower_face,expressions_samho_default,parts,3,expression_parts_format_01
samho/default,body,samho_body_default,always,character_anim,expression_parts_samho_default_body,expressions_samho_default,parts,4,expression_parts_format_01
aili/default,eyes,aili_eyes_default,always,expressions,legacy_expression_parts_aili_default_eyes,legacy_expressions_aili_default,parts,0,expression_parts_format_01
aili/default,eyebrows,aili_eyebrows_default,always,expressions,legacy_expression_parts_aili_default_eyebrows,legacy_expressions_aili_default,parts,1,expression_parts_format_01
aili/default,upper_face,aili_upper_face_default,always,expressions,legacy_expression_parts_aili_default_upper_face,legacy_expressions_aili_default,parts,2,expression_parts_format_01
aili/default,lower_face,aili_lower_face_default,always_on_dialogue,expressions,legacy_expression_parts_aili_default_lower_face,legacy_expressions_aili_default,parts,3,expression_parts_format_01
aili/default,body,aili_body_default,always,expressions,legacy_expression_parts_aili_default_body,legacy_expressions_aili_default,parts,4,expression_parts_format_01
bubi/default,eyes,bubi_eyes_default,always,expressions,legacy_expression_parts_bubi_default_eyes,legacy_expressions_bubi_default,parts,0,expression_parts_format_01
bubi/default,upper_face,bubi_upper_face_default,always,expressions,legacy_expression_parts_bubi_default_upper_face,legacy_expressions_bubi_default,parts,1,expression_parts_format_01
bubi/default,lower_face,bubi_lower_face_default,always_on_dialogue,expressions,legacy_expression_parts_bubi_default_lower_face,legacy_expressions_bubi_default,parts,2,expression_parts_format_01
bubi/default,body,bubi_body_default,always,expressions,legacy_expression_parts_bubi_default_body,legacy_expressions_bubi_default,parts,3,expression_parts_format_01
chris/default,eyes,chris_eyes_default,always,expressions,legacy_expression_parts_chris_default_eyes,legacy_expressions_chris_default,parts,0,expression_parts_format_01
chris/default,eyebrows,chris_eyebrows_default,always,expressions,legacy_expression_parts_chris_default_eyebrows,legacy_expressions_chris_default,parts,1,expression_parts_format_01
chris/default,upper_face,chris_upper_face_default,always,expressions,legacy_expression_parts_chris_default_upper_face,legacy_expressions_chris_default,parts,2,expression_parts_format_01
chris/default,lower_face,chris_lower_face_default,always_on_dialogue,expressions,legacy_expression_parts_chris_default_lower_face,legacy_expressions_chris_default,parts,3,expression_parts_format_01
chris/default,body,chris_body_default,always,expressions,legacy_expression_parts_chris_default_body,legacy_expressions_chris_default,parts,4,expression_parts_format_01
luna/default,eyes,luna_eyes_default,always,expressions,legacy_expression_parts_luna_default_eyes,legacy_expressions_luna_default,parts,0,expression_parts_format_01
luna/default,eyebrows,luna_eyebrows_default,always,expressions,legacy_expression_parts_luna_default_eyebrows,legacy_expressions_luna_default,parts,1,expression_parts_format_01
luna/default,upper_face,luna_upper_face_default,always,expressions,legacy_expression_parts_luna_default_upper_face,legacy_expressions_luna_default,parts,2,expression_parts_format_01
luna/default,lower_face,luna_lower_face_default,always_on_dialogue,expressions,legacy_expression_parts_luna_default_lower_face,legacy_expressions_luna_default,parts,3,expression_parts_format_01
luna/default,body,luna_body_default,always,expressions,legacy_expression_parts_luna_default_body,legacy_expressions_luna_default,parts,4,expression_parts_format_01
port/anger,eyes,port_eyes_anger,special_on_dialogue,expressions,legacy_expression_parts_port_anger_eyes,legacy_expressions_port_anger,parts,0,expression_parts_format_01
port/anger,eyebrows,port_eyebrows_anger,special_on_dialogue,expressions,legacy_expression_parts_port_anger_eyebrows,legacy_expressions_port_anger,parts,1,expression_parts_format_01
port/anger,upper_face,port_upper_face_anger,special_on_dialogue,expressions,legacy_expression_parts_port_anger_upper_face,legacy_expressions_port_anger,parts,2,expression_parts_format_01
port/anger,lower_face,port_lower_face_anger,special_on_dialogue,expressions,legacy_expression_parts_port_anger_lower_face,legacy_expressions_port_anger,parts,3,expression_parts_format_01
port/anger,body,port_body_anger,special_on_dialogue,expressions,legacy_expression_parts_port_anger_body,legacy_expressions_port_anger,parts,4,expression_parts_format_01
port/anger,extra,port_extra_anger,special_on_dialogue,expressions,legacy_expression_parts_port_anger_extra,legacy_expressions_port_anger,parts,5,expression_parts_format_01
port/anger,etc,port_etc_default,special_on_dialogue,expressions,legacy_expression_parts_port_anger_etc,legacy_expressions_port_anger,parts,6,expression_parts_format_01
port/default,eyes,port_eyes_default,always,expressions,legacy_expression_parts_port_default_eyes,legacy_expressions_port_default,parts,0,expression_parts_format_01
port/default,eyebrows,port_eyebrows_default,always,expressions,legacy_expression_parts_port_default_eyebrows,legacy_expressions_port_default,parts,1,expression_parts_format_01
port/default,upper_face,port_upper_face_default,always,expressions,legacy_expression_parts_port_default_upper_face,legacy_expressions_port_default,parts,2,expression_parts_format_01
port/default,lower_face,port_lower_face_default,always_on_dialogue,expressions,legacy_expression_parts_port_default_lower_face,legacy_expressions_port_default,parts,3,expression_parts_format_01
port/default,body,port_body_default,always,expressions,legacy_expression_parts_port_default_body,legacy_expressions_port_default,parts,4,expression_parts_format_01
port/default,extra,port_extra_default,always,expressions,legacy_expression_parts_port_default_extra,legacy_expressions_port_default,parts,5,expression_parts_format_01
port/default,etc,port_etc_default,always,expressions,legacy_expression_parts_port_default_etc,legacy_expressions_port_default,parts,6,expression_parts_format_01
port/joy,eyebrows,port_eyebrows_joy,always,expressions,legacy_expression_parts_port_joy_eyebrows,legacy_expressions_port_joy,parts,0,expression_parts_format_01
port/joy,lower_face,port_lower_face_joy,always_on_dialogue,expressions,legacy_expression_parts_port_joy_lower_face,legacy_expressions_port_joy,parts,1,expression_parts_format_01
port/joy,extra,port_extra_default,always,expressions,legacy_expression_parts_port_joy_extra,legacy_expressions_port_joy,parts,2,expression_parts_format_01
port/joy,etc,port_etc_default,always,expressions,legacy_expression_parts_port_joy_etc,legacy_expressions_port_joy,parts,3,expression_parts_format_01
port/serious,eyes,port_eyes_serious,always,expressions,legacy_expression_parts_port_serious_eyes,legacy_expressions_port_serious,parts,0,expression_parts_format_01
port/serious,eyebrows,port_eyebrows_serious,always,expressions,legacy_expression_parts_port_serious_eyebrows,legacy_expressions_port_serious,parts,1,expression_parts_format_01
port/serious,lower_face,port_lower_face_serious,always_on_dialogue,expressions,legacy_expression_parts_port_serious_lower_face,legacy_expressions_port_serious,parts,2,expression_parts_format_01
port/serious,extra,port_extra_default,always,expressions,legacy_expression_parts_port_serious_extra,legacy_expressions_port_serious,parts,3,expression_parts_format_01
port/serious,etc,port_etc_default,always,expressions,legacy_expression_parts_port_serious_etc,legacy_expressions_port_serious,parts,4,expression_parts_format_01
samho/default,eyes,samho_eyes_default,always,expressions,legacy_expression_parts_samho_default_eyes,legacy_expressions_samho_default,parts,0,expression_parts_format_01
samho/default,eyebrows,samho_eyebrows_default,always,expressions,legacy_expression_parts_samho_default_eyebrows,legacy_expressions_samho_default,parts,1,expression_parts_format_01
samho/default,upper_face,samho_upper_face_default,always,expressions,legacy_expression_parts_samho_default_upper_face,legacy_expressions_samho_default,parts,2,expression_parts_format_01
samho/default,lower_face,samho_lower_face_default,always_on_dialogue,expressions,legacy_expression_parts_samho_default_lower_face,legacy_expressions_samho_default,parts,3,expression_parts_format_01
samho/default,body,samho_body_default,always,expressions,legacy_expression_parts_samho_default_body,legacy_expressions_samho_default,parts,4,expression_parts_format_01
