context,expression,mode,sprite,talk_anim,dataset_id,row_id,parent_id,parent_field,source_order,template_id
chris,fail,sprite,chris_fail,false,expressions,legacy_expressions_chris_fail,legacy_animation_chris,value,2,expressions_format_02
common,default,sprite,guest_default,false,expressions,legacy_expressions_common_default,legacy_animation_common,value,0,expressions_format_02
common,joy,sprite,guest_joy,false,expressions,legacy_expressions_common_joy,legacy_animation_common,value,1,expressions_format_02
common,sadness,sprite,guest_sadness,false,expressions,legacy_expressions_common_sadness,legacy_animation_common,value,2,expressions_format_02
common,anger,sprite,guest_anger,false,expressions,legacy_expressions_common_anger,legacy_animation_common,value,3,expressions_format_02
common,surprise,sprite,guest_surprise,false,expressions,legacy_expressions_common_surprise,legacy_animation_common,value,4,expressions_format_02
common,fear,sprite,guest_fear,false,expressions,legacy_expressions_common_fear,legacy_animation_common,value,5,expressions_format_02
common,annoyingB,sprite,guest_annoyingB,false,expressions,legacy_expressions_common_annoyingB,legacy_animation_common,value,6,expressions_format_02
common,annoyingR,sprite,guest_annoyingR,false,expressions,legacy_expressions_common_annoyingR,legacy_animation_common,value,7,expressions_format_02
haru,default,sprite,haru_default,false,expressions,legacy_expressions_haru_default,legacy_animation_haru,value,0,expressions_format_02
haru,sad,sprite,haru_sad,false,expressions,legacy_expressions_haru_sad,legacy_animation_haru,value,1,expressions_format_02
hina,default,sprite,hina_default,false,expressions,legacy_expressions_hina_default,legacy_animation_hina,value,0,expressions_format_02
luna,default,parts_anim,\N,true,expressions,legacy_expressions_luna_default,legacy_animation_luna,value,0,expressions_format_01
port,default,parts_anim,\N,true,expressions,legacy_expressions_port_default,legacy_animation_port,value,0,expressions_format_01
port,joy,parts_anim,\N,true,expressions,legacy_expressions_port_joy,legacy_animation_port,value,1,expressions_format_01
port,serious,parts_anim,\N,true,expressions,legacy_expressions_port_serious,legacy_animation_port,value,2,expressions_format_01
port,anger,parts_anim,\N,true,expressions,legacy_expressions_port_anger,legacy_animation_port,value,3,expressions_format_01
port,event_surprise,sprite,port_surprise,false,expressions,legacy_expressions_port_event_surprise,legacy_animation_port,value,4,expressions_format_02
rios,default,sprite,rios_default,false,expressions,legacy_expressions_rios_default,legacy_animation_rios,value,0,expressions_format_02
samho,default,parts_anim,\N,true,expressions,legacy_expressions_samho_default,legacy_animation_samho,value,0,expressions_format_01
samho,success,sprite,samho_success,false,expressions,legacy_expressions_samho_success,legacy_animation_samho,value,1,expressions_format_02
samho,fail,sprite,samho_fail,false,expressions,legacy_expressions_samho_fail,legacy_animation_samho,value,2,expressions_format_02
samho,drunk,sprite,samho_drunk,false,expressions,legacy_expressions_samho_drunk,legacy_animation_samho,value,3,expressions_format_02
shiba,default,sprite,shiba_default,false,expressions,legacy_expressions_shiba_default,legacy_animation_shiba,value,0,expressions_format_02
soldier,default,sprite,soldier_default,false,expressions,legacy_expressions_soldier_default,legacy_animation_soldier,value,0,expressions_format_02
sunha,default,sprite,sunha_default,false,expressions,legacy_expressions_sunha_default,legacy_animation_sunha,value,0,expressions_format_02
sunha,serious,sprite,sunha_serious,false,expressions,legacy_expressions_sunha_serious,legacy_animation_sunha,value,1,expressions_format_02
tom,default,sprite,tom_default,false,expressions,legacy_expressions_tom_default,legacy_animation_tom,value,0,expressions_format_02
tom,serious,sprite,tom_serious,false,expressions,legacy_expressions_tom_serious,legacy_animation_tom,value,1,expressions_format_02
vendor,default,sprite,vendor_default,false,expressions,legacy_expressions_vendor_default,legacy_animation_vendor,value,0,expressions_format_02
volts,default,sprite,volts_default,false,expressions,legacy_expressions_volts_default,legacy_animation_volts,value,0,expressions_format_02
yuna,default,sprite,yuna_default,false,expressions,legacy_expressions_yuna_default,legacy_animation_yuna,value,0,expressions_format_02
