setting,value_type,value,dataset_id,row_id,parent_id,parent_field,source_order,template_id
commute_out_resume_spot_id,str,bar_door,balance,balance_commute_out_resume_spot_id,balance_root,config,70,balance_config_format_01
bar_mid_session_autosave_enabled,bool,false,balance,balance_bar_mid_session_autosave_enabled,balance_root,config,71,balance_config_format_04
typing_interval_ms,int,50,balance,balance_typing_interval_ms,balance_root,config,72,balance_config_format_02
first_spawn_delay_sec,int,5,balance,balance_first_spawn_delay_sec,balance_root,config,73,balance_config_format_02
reseat_delay_sec,int,10,balance,balance_reseat_delay_sec,balance_root,config,74,balance_config_format_02
sfx_guest_in,str,SFX_guest_door_in,balance,balance_sfx_guest_in,balance_root,config,75,balance_config_format_01
sfx_guest_out,str,SFX_guest_door_out,balance,balance_sfx_guest_out,balance_root,config,76,balance_config_format_01
sfx_drink_high,str,SFX_drink_satisfied,balance,balance_sfx_drink_high,balance_root,config,77,balance_config_format_01
sfx_drink_mid,str,SFX_drink_neutral,balance,balance_sfx_drink_mid,balance_root,config,78,balance_config_format_01
sfx_drink_low,str,SFX_drink_grim,balance,balance_sfx_drink_low,balance_root,config,79,balance_config_format_01
idle_min_sec,int,8,balance,balance_idle_min_sec,balance_root,config,80,balance_config_format_02
idle_max_sec,int,13,balance,balance_idle_max_sec,balance_root,config,81,balance_config_format_02
sfx_serve,str,SFX_glass_slide,balance,balance_sfx_serve,balance_root,config,82,balance_config_format_01
order_bark_gap_sec,float,1.5,balance,balance_order_bark_gap_sec,balance_root,config,83,balance_config_format_03
street_typing_interval_ms,int,50,balance,balance_street_typing_interval_ms,balance_root,config,84,balance_config_format_02
street_auto_next_delay_sec,int,3,balance,balance_street_auto_next_delay_sec,balance_root,config,85,balance_config_format_02
stir_target_stacks,int,10,balance,balance_stir_target_stacks,balance_root,config,86,balance_config_format_02
stir_inputs_per_circle,int,4,balance,balance_stir_inputs_per_circle,balance_root,config,87,balance_config_format_02
stir_circle_limit_sec,int,2,balance,balance_stir_circle_limit_sec,balance_root,config,88,balance_config_format_02
stir_warning_ratio,float,0.34,balance,balance_stir_warning_ratio,balance_root,config,89,balance_config_format_03
stir_input_cooldown_sec,float,0,balance,balance_stir_input_cooldown_sec,balance_root,config,90,balance_config_format_03
guest_acc_none_weight,int,1,balance,balance_guest_acc_none_weight,balance_root,config,91,balance_config_format_02
random_order_sampling_mode,str,uniform_with_replacement,balance,balance_random_order_sampling_mode,balance_root,config,92,balance_config_format_01
serve_timeout_same_frame_priority,str,timeout,balance,balance_serve_timeout_same_frame_priority,balance_root,config,93,balance_config_format_01
data_error_safe_exit_after_same_code,int,2,balance,balance_data_error_safe_exit_after_same_code,balance_root,config,94,balance_config_format_02
